,entity_id,score,label_value,majority_race,poverty-rate
4,170310101001,0.0,0.0,None,9.58-22.42
9,170310101002,1.0,0.0,African-American,22.42-100.00
14,170310101003,1.0,1.0,White,22.42-100.00
19,170310102011,1.0,1.0,None,22.42-100.00
24,170310102012,1.0,1.0,African-American,22.42-100.00
29,170310102013,0.0,0.0,None,22.42-100.00
34,170310102021,0.0,0.0,None,9.58-22.42
39,170310102022,0.0,1.0,None,22.42-100.00
44,170310103001,0.0,0.0,White,1.80-9.58
49,170310103002,0.0,0.0,None,22.42-100.00
54,170310103003,0.0,0.0,White,9.58-22.42
59,170310103004,0.0,1.0,None,1.80-9.58
64,170310104001,1.0,0.0,White,0.00-1.80
69,170310104002,0.0,0.0,White,22.42-100.00
74,170310104003,0.0,0.0,White,0.00-1.80
79,170310105011,0.0,1.0,White,22.42-100.00
84,170310105012,0.0,1.0,None,1.80-9.58
89,170310105013,0.0,0.0,White,1.80-9.58
94,170310105021,0.0,0.0,White,9.58-22.42
99,170310105022,0.0,0.0,White,22.42-100.00
104,170310105031,0.0,0.0,None,22.42-100.00
109,170310105032,0.0,0.0,White,0.00-1.80
114,170310106001,0.0,0.0,None,9.58-22.42
119,170310106002,0.0,0.0,African-American,0.00-1.80
124,170310106003,0.0,0.0,White,1.80-9.58
129,170310106004,0.0,0.0,None,1.80-9.58
134,170310107011,0.0,0.0,None,9.58-22.42
139,170310107012,0.0,0.0,None,1.80-9.58
144,170310107021,0.0,0.0,None,22.42-100.00
149,170310107022,0.0,0.0,Hispanic,22.42-100.00
154,170310107023,0.0,0.0,Hispanic,22.42-100.00
159,170310107024,0.0,0.0,None,22.42-100.00
164,170310201001,0.0,1.0,None,9.58-22.42
169,170310201002,0.0,0.0,None,9.58-22.42
174,170310202001,0.0,0.0,White,0.00-1.80
179,170310202002,0.0,0.0,None,9.58-22.42
184,170310202003,0.0,0.0,White,9.58-22.42
189,170310202004,0.0,0.0,None,9.58-22.42
194,170310203011,0.0,0.0,White,1.80-9.58
199,170310203012,0.0,0.0,White,1.80-9.58
204,170310203013,0.0,0.0,White,1.80-9.58
209,170310203021,0.0,0.0,White,1.80-9.58
214,170310203022,0.0,0.0,None,9.58-22.42
219,170310203023,0.0,0.0,White,9.58-22.42
224,170310204001,0.0,0.0,White,0.00-1.80
229,170310204002,0.0,0.0,None,9.58-22.42
234,170310204003,0.0,0.0,None,22.42-100.00
239,170310205001,0.0,0.0,None,9.58-22.42
244,170310205002,0.0,0.0,Hispanic,22.42-100.00
249,170310205003,0.0,0.0,None,22.42-100.00
254,170310205004,0.0,0.0,None,9.58-22.42
259,170310206011,0.0,0.0,White,9.58-22.42
264,170310206012,1.0,0.0,White,22.42-100.00
269,170310206013,0.0,0.0,White,9.58-22.42
274,170310206021,0.0,0.0,None,1.80-9.58
279,170310206022,0.0,0.0,Asian,22.42-100.00
284,170310206023,0.0,0.0,None,22.42-100.00
289,170310206024,0.0,0.0,None,22.42-100.00
294,170310207011,0.0,0.0,White,1.80-9.58
299,170310207012,0.0,0.0,White,9.58-22.42
304,170310207021,0.0,0.0,White,0.00-1.80
309,170310207022,0.0,1.0,None,22.42-100.00
314,170310207023,0.0,0.0,None,22.42-100.00
319,170310207024,0.0,0.0,None,9.58-22.42
324,170310208011,0.0,0.0,None,9.58-22.42
329,170310208012,0.0,0.0,White,0.00-1.80
334,170310208013,0.0,0.0,None,9.58-22.42
339,170310208014,0.0,0.0,None,22.42-100.00
344,170310208021,0.0,0.0,None,9.58-22.42
349,170310208022,0.0,0.0,None,22.42-100.00
354,170310208023,0.0,0.0,None,22.42-100.00
359,170310208024,0.0,0.0,None,22.42-100.00
364,170310209011,0.0,0.0,None,9.58-22.42
369,170310209012,0.0,0.0,None,9.58-22.42
374,170310209013,0.0,0.0,None,22.42-100.00
379,170310209021,0.0,0.0,White,1.80-9.58
384,170310209022,0.0,0.0,None,9.58-22.42
389,170310301011,0.0,1.0,White,9.58-22.42
394,170310301012,0.0,0.0,White,0.00-1.80
399,170310301013,1.0,0.0,None,22.42-100.00
404,170310301014,0.0,0.0,White,0.00-1.80
409,170310301021,0.0,0.0,White,0.00-1.80
414,170310301022,0.0,0.0,None,0.00-1.80
419,170310301023,0.0,0.0,None,0.00-1.80
424,170310301031,0.0,0.0,White,0.00-1.80
429,170310301032,0.0,0.0,None,22.42-100.00
434,170310301041,0.0,0.0,White,22.42-100.00
439,170310301042,0.0,0.0,None,0.00-1.80
444,170310302001,0.0,0.0,White,9.58-22.42
449,170310302002,0.0,0.0,White,0.00-1.80
454,170310302003,0.0,0.0,White,0.00-1.80
459,170310302004,0.0,0.0,White,0.00-1.80
464,170310303001,0.0,0.0,None,9.58-22.42
469,170310303002,0.0,0.0,None,22.42-100.00
474,170310304001,0.0,0.0,None,22.42-100.00
479,170310304002,0.0,0.0,None,9.58-22.42
484,170310305001,0.0,0.0,White,22.42-100.00
489,170310305002,0.0,0.0,White,1.80-9.58
494,170310305003,0.0,0.0,White,9.58-22.42
499,170310305004,0.0,0.0,White,1.80-9.58
504,170310306011,0.0,0.0,White,22.42-100.00
509,170310306012,0.0,0.0,None,22.42-100.00
514,170310306013,0.0,0.0,White,1.80-9.58
519,170310306031,0.0,0.0,None,22.42-100.00
524,170310306032,0.0,0.0,None,22.42-100.00
529,170310306041,0.0,0.0,None,9.58-22.42
534,170310306042,0.0,0.0,White,9.58-22.42
539,170310306043,0.0,0.0,White,22.42-100.00
544,170310307011,0.0,0.0,None,22.42-100.00
549,170310307021,0.0,0.0,White,9.58-22.42
554,170310307022,0.0,0.0,White,0.00-1.80
559,170310307031,0.0,0.0,White,0.00-1.80
564,170310307032,0.0,0.0,White,9.58-22.42
569,170310307033,0.0,0.0,White,0.00-1.80
574,170310307061,0.0,1.0,White,1.80-9.58
579,170310307062,0.0,0.0,None,9.58-22.42
584,170310308001,0.0,0.0,White,9.58-22.42
589,170310308002,0.0,0.0,White,0.00-1.80
594,170310308003,0.0,0.0,White,0.00-1.80
599,170310308004,0.0,0.0,White,0.00-1.80
604,170310309001,0.0,0.0,White,0.00-1.80
609,170310309002,0.0,0.0,White,1.80-9.58
614,170310309003,0.0,0.0,None,1.80-9.58
619,170310309004,0.0,0.0,White,0.00-1.80
624,170310310001,0.0,0.0,White,0.00-1.80
629,170310310002,0.0,0.0,White,1.80-9.58
634,170310310003,0.0,0.0,White,0.00-1.80
639,170310311001,0.0,0.0,White,1.80-9.58
644,170310311002,0.0,0.0,White,22.42-100.00
649,170310311003,0.0,0.0,White,0.00-1.80
654,170310312001,0.0,0.0,White,9.58-22.42
659,170310312002,0.0,0.0,None,22.42-100.00
664,170310312003,0.0,1.0,None,22.42-100.00
669,170310312004,0.0,1.0,White,9.58-22.42
674,170310313001,1.0,1.0,None,1.80-9.58
679,170310313002,0.0,0.0,None,1.80-9.58
684,170310313003,0.0,0.0,Asian,22.42-100.00
689,170310313004,0.0,0.0,None,22.42-100.00
694,170310313005,0.0,0.0,None,1.80-9.58
699,170310314001,0.0,0.0,White,0.00-1.80
704,170310314002,0.0,0.0,White,0.00-1.80
709,170310314003,0.0,0.0,White,0.00-1.80
714,170310314004,0.0,0.0,None,0.00-1.80
719,170310314005,0.0,0.0,White,9.58-22.42
724,170310314006,0.0,0.0,White,0.00-1.80
729,170310315011,1.0,0.0,None,22.42-100.00
734,170310315012,0.0,0.0,None,22.42-100.00
739,170310315013,0.0,0.0,None,22.42-100.00
744,170310315021,0.0,0.0,White,22.42-100.00
749,170310315022,0.0,0.0,None,22.42-100.00
754,170310315023,0.0,0.0,African-American,22.42-100.00
759,170310317001,1.0,0.0,White,22.42-100.00
764,170310317002,0.0,0.0,White,22.42-100.00
769,170310317003,0.0,1.0,None,9.58-22.42
774,170310317004,0.0,0.0,White,9.58-22.42
779,170310318001,0.0,0.0,White,9.58-22.42
784,170310319001,0.0,0.0,White,0.00-1.80
789,170310319002,0.0,0.0,White,9.58-22.42
794,170310321001,0.0,0.0,White,0.00-1.80
799,170310321002,0.0,0.0,White,0.00-1.80
804,170310321003,0.0,0.0,White,9.58-22.42
809,170310321004,0.0,0.0,None,0.00-1.80
814,170310321005,0.0,0.0,White,0.00-1.80
819,170310401001,0.0,0.0,White,9.58-22.42
824,170310401002,0.0,0.0,White,0.00-1.80
829,170310401003,0.0,0.0,White,9.58-22.42
834,170310402011,0.0,0.0,White,0.00-1.80
839,170310402012,0.0,0.0,White,22.42-100.00
844,170310402013,0.0,0.0,White,0.00-1.80
849,170310402014,0.0,0.0,White,1.80-9.58
854,170310402021,0.0,0.0,White,1.80-9.58
859,170310402022,0.0,0.0,White,9.58-22.42
864,170310402023,0.0,0.0,None,22.42-100.00
869,170310402024,0.0,0.0,White,9.58-22.42
874,170310403001,0.0,0.0,White,1.80-9.58
879,170310403002,0.0,0.0,White,1.80-9.58
884,170310403003,0.0,0.0,None,0.00-1.80
889,170310404011,0.0,0.0,White,9.58-22.42
894,170310404012,0.0,0.0,White,9.58-22.42
899,170310404013,0.0,0.0,White,9.58-22.42
904,170310404014,0.0,0.0,White,0.00-1.80
909,170310404021,0.0,0.0,White,1.80-9.58
914,170310404022,0.0,0.0,White,0.00-1.80
919,170310404023,0.0,0.0,None,0.00-1.80
924,170310404024,0.0,0.0,None,0.00-1.80
929,170310404025,0.0,0.0,White,9.58-22.42
934,170310406001,0.0,0.0,White,1.80-9.58
939,170310406002,0.0,0.0,White,1.80-9.58
944,170310406003,0.0,0.0,White,1.80-9.58
949,170310407001,0.0,0.0,White,9.58-22.42
954,170310407002,0.0,0.0,White,0.00-1.80
959,170310407003,0.0,0.0,White,1.80-9.58
964,170310407004,0.0,0.0,White,0.00-1.80
969,170310408001,0.0,0.0,White,0.00-1.80
974,170310408002,0.0,0.0,White,0.00-1.80
979,170310409001,0.0,0.0,White,1.80-9.58
984,170310409002,0.0,0.0,White,0.00-1.80
989,170310501001,0.0,0.0,White,0.00-1.80
994,170310501002,0.0,0.0,White,1.80-9.58
